"","Method","alpha","Parameter","par_real","median","MPE","relative_bias"
"1","Method_1","0.35","(Intercept)_a",2.973018248,2.02240439695427,-0.325565777164532,-0.319747062328065
"2","Method_1","0.35","sent_a",0.250886046,0.250876651184327,0.0066731859337781,-3.74465452473555e-05
"3","Method_1","0.35","cost_a",-0.001380885,0.0014852155681585,-1.68945783444837,-2.07555340825521
"4","Method_1","0.35","(Intercept)_delta",-8.373751993,-3.29558714919072,-0.606752671641355,-0.606438409933128
"5","Method_1","0.35","semester2_delta",-0.309405318,-0.124312046119828,-0.592789749623413,-0.598222658474707
"6","Method_1","0.35","alpha",0.35,0.686948164661533,0.968894080535449,0.962709041890094
"7","Method_1","0.50","(Intercept)_a",2.973018248,2.33703931733352,-0.219215275650879,-0.213916928055962
"8","Method_1","0.50","sent_a",0.250886046,0.248675613482161,0.00384810188432919,-0.00881050402396225
"9","Method_1","0.50","cost_a",-0.001380885,-0.0023227693557124,-0.680491666046568,0.682087469783798
"10","Method_1","0.50","(Intercept)_delta",-8.373751993,-4.4571092724216,-0.469366142870268,-0.467728531230982
"11","Method_1","0.50","semester2_delta",-0.309405318,-0.165480250285375,-0.465543928070387,-0.465166754873376
"12","Method_1","0.50","alpha",0.5,0.744610433474591,0.490730181960087,0.489220866949182
"13","Method_1","0.65","(Intercept)_a",2.973018248,2.57324641728137,-0.134584566101256,-0.13446665892063
"14","Method_1","0.65","sent_a",0.250886046,0.253030006129921,0.00625181957961374,0.00854555350567811
"15","Method_1","0.65","cost_a",-0.001380885,-0.00262855178395965,-0.0672965224031347,0.903526929439924
"16","Method_1","0.65","(Intercept)_delta",-8.373751993,-5.6648093566259,-0.322972596096692,-0.32350404438042
"17","Method_1","0.65","semester2_delta",-0.309405318,-0.1929228777694,-0.348487070811236,-0.3764720043713
"18","Method_1","0.65","alpha",0.65,0.81276132090883,0.250416010357105,0.250402032167431
"19","Method_1","0.80","(Intercept)_a",2.973018248,2.78270894581304,-0.0659346916799731,-0.0640121540844844
